"학교생활 만족도","학교 진로활동 만족도","학교 진로활동 진로와 직업 수업 경험","학교 진로활동 진로와 직업 수업 만족도","학교 진로활동 교과 수업 중 진로탐색 경험","학교 진로활동 교과 수업 중 진로탐색 만족도","학교 진로활동 진로심리검사 경험","학교 진로활동 진로심리검사 만족도","학교 진로활동 진로체험 경험","학교 진로활동 진로체험 만족도","학교 진로활동 진로상담 경험","학교 진로활동 진로상담 만족도","학교 진로활동 진로동아리 경험","학교 진로활동 진로동아리 만족도","학교 진로활동 창업체험교육 경험","학교 진로활동 창업체험교육 만족도","진로와 직업 수업 참여 의향","교과 수업 중 진로탐색 참여 의향","진로심리검사 참여 의향","진로체험 참여 의향","진로상담 참여 의향","진로동아리 참여 의향","창업체험교육 참여 의향","참여경험 강연형대화형(학교 진로체험)","도움정도 강연형대화형(학교 진로체험)","참여경험 현장견학형(학교 진로체험)","도움정도 현장견학형(학교 진로체험)","참여경험 직업실무체험형(학교 진로체험)","도움정도 직업실무체험형(학교 진로체험)","참여경험 현장직업체험형(학교 진로체험)","도움정도 현장직업체험형(학교 진로체험)","참여경험 학과체험형(학교 진로체험)","도움정도 학과체험형(학교 진로체험)","참여경험 진로캠프형(학교 진로체험)","도움정도 진로캠프형(학교 진로체험)","경험해보고 싶은 활동1","경험해보고 싶은 활동2","경험해보고 싶은 활동3","경험해보고 싶은 활동4","경험해보고 싶은 활동5","경험해보고 싶은 활동6","진로체험 활동 참여시 희망대로 운영여부","활동경험 교과수업 중 도전(기업가)정신 및 창업체험교육","만족도 교과수업 중 도전(기업가)정신 및 창업체험교육","활동경험 도전(창업가)정신에 관한 특강 및 창업 관련 멘토링","만족도 도전(창업가)정신에 관한 특강 및 창업 관련 멘토링","활동경험 창업동아리 활동","만족도 창업동아리 활동","활동경험 창업경진대회 참가","만족도 창업경진대회 참가","활동경험 학교 밖 창업교육 프로그램(창업캠프 등)","만족도 학교 밖 창업교육 프로그램(창업캠프 등)","살아가면서 도전(창업가)정신을 가질 필요가 있다","어려운 일이라도 도전(창업가)정신으로 해낼 수 있을 것 같다","도전(창업가)정신을 키우는 방법이 있다면 한번 배우고 싶다","커리어넷(진로정보망) 인지 여부","워크넷 인지 여부","특성화고.마이스터고 포털(하이파이브) 인지 여부","대입정보포털(어디가) 인지 여부","꿈길(진로체험망) 인지 여부","YEEP(온라인 창업체험교육 플랫폼) 인지 여부","원격 영상 진로멘토링 인지 여부","크레존  인지 여부","진로 관련 정보의 주요 획득경로1","진로 관련 정보의 주요 획득경로2","진로 관련 정보의 주요 획득경로3","진로 관련 정보의 주요 획득경로4","진로 관련 정보의 주요 획득경로5","진로 관련 정보의 주요 획득경로6","진로 관련 정보의 주요 획득경로7","진로 관련 정보의 주요 획득경로8","진로 관련 정보의 주요 획득경로9","진로 관련 정보의 주요 획득경로10","진로 관련 정보의 주요 획득경로11","진로 관련 정보의 주요 획득경로12","진로 관련 정보의 주요 획득경로13","진로 관련 정보의 주요 획득경로14","진로 관련 정보의 주요 획득경로15","자기이해 정보 필요정도","진로체험 정보 필요정도","직업정보 필요정도","학과정보 필요정도","진학입시정보 필요정도","진로설계 정보 필요정도","학습 방법 정보 필요정도","취업정보 필요정도","창업 관련 정보 필요정도","학교생활(친구 관계, 선생님과의 관계 등)에 대한 부모님(보호자)과 대화 빈도","나의 흥미와 적성, 희망직업(꿈)에 대한 부모님(보호자)과 대화 빈도","학교 및 학과 선택에 대한 부모님과 대화 빈도","공부(학습)와 성적에 대한 부모님(보호자)과 대화 빈도","학교 교육활동으로 진학 지원 프로그램 참여 여부","학교 교육활동으로 취업 지원 프로그램 참여 여부","활동 경험 진로심리검사받기(외부기관)","만족도 진로심리검사받기(외부기관)","활동 경험 진로체험하기(외부기관)","만족도 진로체험하기(외부기관)","활동 경험 진로상담받기(외부기관)","만족도 진로상담받기(외부기관)","참여경험 강연형대화형(외부기관)","도움정도 강연형대화형(외부기관)","참여경험 현장견학형(외부기관)","도움정도 현장견학형(외부기관)","참여경험 직업실무체험형(외부기관)","도움정도 직업실무체험형(외부기관)","참여경험 현장직업체험형(외부기관)","도움정도 현장직업체험형(외부기관)","참여경험 학과체험형(외부기관)","도움정도 학과체험형(외부기관)","참여경험 진로캠프형(외부기관)","도움정도 진로캠프형(외부기관)","희망 직업의 유무","희망 직업(또는 직업 분야)","구체적 희망 직업(또는 직업 분야)(주관식)","구체적 희망 직업(또는 직업 분야)","희망 직업의 업무 내용에 대한 인지 정도","직업을 알게 된 경로1","직업을 알게 된 경로2","직업을 알게 된 경로3","직업을 알게 된 경로4","직업을 알게 된 경로5","직업을 알게 된 경로6","직업을 알게 된 경로7","직업을 알게 된 경로8","직업을 알게 된 경로9","직업을 알게 된 경로10","직업을 알게 된 경로11","직업을 알게 된 경로12","직업을 알게 된 경로_기타(주관식)","직업을 알게 된 경로_기타","희망 직업 선택 이유","희망 직업 선택 이유-기타(주관식)","희망 직업 선택 이유-기타","희망하는 직업에 대한 체험 경험 유무","희망직업에 대한 학생과 학부모의 일치 여부","고등학교 졸업 직후 진로 계획","진학 희망 전공.학과 분야1","진학 희망 전공.학과 분야2","진학 희망 학과명(주관식)","진학 희망 학과명","취업 희망 이유","취업 희망 이유-기타(주관식)","취업 희망 이유-기타","희망 취업처","희망 취업처-기타(주관식)","희망 취업처-기타","희망 급여 최소 금액","창업과 관련 학교의 지원 중 가장 필요한것","창업과 관련 학교의 지원 중 가장 필요한것-기타","진로 관련 정보 인지 수준","진로준비 수준","중소기업 취업 관심 정도","중소기업 취업에 관심이 없는 이유","중소기업 취업에 관심이 없는 이유-기타(주관식)","중소기업 취업에 관심이 없는 이유-기타","중소기업 취업에 관심이 있는 이유","중소기업 취업에 관심이 있는 이유-기타(주관식)","중소기업 취업에 관심이 있는 이유-기타","창업에 대한 관심 정도","창업에 관심이 있는 이유","창업에 관심이 있는 이유-기타(주관식)","창업에 관심이 있는 이유-기타","희망교육 수준","진로인식 나는 스스로를 소중한 존재라고 생각한다","진로인식 나는 자기관리(시간, 돈, 건강 관리) 방법을 알고 있다","진로인식 나는 내가 무엇을 좋아하는지 알고 있다","진로인식 나는 내가 무엇을 잘하는지 알고 있다","진로인식 나는 원만한 대인관계(친구, 가족 관계 등)를 위해 노력하고 있다","진로인식 나는 여러 가지 상황(대화, 발표, 토론 등)에 맞게 나의 의견을 표현할 수 있다","진로인식 나는 새로운 직업이나 진로를 개척한 사람들의 사례를 알고 있다","진로인식 나는 일과 직업 세계가 어떻게 변화되어 왔는지 알고 있다","진로인식 나는 내가 원하는(혹은 관심 있는) 직업에서 필요한 직업윤리에 대하여 설명할 수 있다","진로인식 나는 직업을 통해 사회활동을 하는 것이 중요하다고 생각한다","진로인식 나는 우리 사회에서 흔히 볼 수 있는 직업에 대한 편견과 고정관념을 설명할 수 있다","진로인식 나는 고등학교 졸업 이후에 이용할 수 있는 다양한 교육기관의 종류를 설명할 수 있다","진로인식 나는 내가 원하는 고등교육기관의 학과의 정보에 대하여 여러 가지 방법으로 탐색할 수 있다","진로인식 나는 희망(관심) 직업의 정보를 여러 가지 방법을 통하여 탐색할 수 있다","진로인식 나는 여러 가지 직업정보 중 믿을 수 있는 정보와 그렇지 않은 것을 판단할 수 있다","진로인식 나는 내가 원하는(혹은 관심 있는) 직업을 갖기 위해서 필요한 학력이나 자격 등에 대한 정보를 알고 있다","진로인식 나는 나의 특성과 환경을 고려하여 장기적인 진로계획을 세울 수 있다","진로인식 나는 고등학교 졸업 이후의 내 진로(대학 진학, 취업, 창업 등)에 대한 계획이 있다","진로인식 나는 내가 원하는 진로(대학 진학, 취업, 창업 등)를 준비하는 방법을 알고 있다","진로인식 나는 진로(대학 진학, 취업, 창업 등)를 선택할 때 중요하게 생각하는 기준이 있다","진로인식 나는 진로를 준비할 때 발생하는 어려움을 극복할 수 있다","학습동기 나는 무언가를 배우는 것이 즐겁다","학습동기 나는 공부가 미래에 도움이 될 것 같아서 한다","학습동기 공부를 안 하면 다른 친구들에 비해 뒤처질 것 같다","학습동기 부모님의 기대에 따르기 위해 공부한다","학습동기 선생님의 기대에 따르기 위해 공부한다","학습태도 공부할 때 먼저 무엇부터 할까 스스로 계획을 세운다","학습태도 공부하다가 모르는 것이 나오면 여러 가지 방법을 사용해서 알아낸다","학습태도 나에게 가장 효과적인 학습 방법을 생각하며 공부한다","학습태도 숙제나 해야 할 일은 어렵더라도 해결하려고 한다","진로교육 현황조사 조사 문항을 이해하기 쉬웠다","진로교육 현황조사 조사 문항에 응답하기 쉬웠다","진로교육 현황조사 나의 진로에 대해 생각해 보는 데 도움이 되었다","가중치"
4,3,1,4,1,4,2,,2,,2,,2,,2,,1,1,1,1,1,1,1,2,,2,,2,,2,,2,,2,,1,2,,,,,3,2,,2,,2,,2,,2,,3,3,3,1,2,2,2,2,2,2,2,,,,,,,,,,,11,12,13,,,5,5,5,5,5,5,5,5,5,4,4,4,4,2,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,14,연주자,75,4,1,2,,,,,,,,,,,,,1,,,1,1,1,41,,음악과,904,,,,,,,,,,5,5,5,,,,3,,,3,3,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,35.30365
4,3,1,4,1,4,2,,2,,2,,2,,2,,1,1,1,2,1,2,1,1,3,2,,2,,2,,2,,2,,,,3,4,,,3,2,,2,,2,,2,,2,,3,3,3,1,2,2,2,2,2,2,2,,,,,,,,8,9,,,,13,,,3,3,3,3,3,3,3,3,3,2,2,2,2,2,1,1,4,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,2,,,2,,,1,1,1,5,,,,,,3,4,,,1,4,4,2,1,2,3,2,2,2,4,3,2,3,3,2,1,1,1,1,1,2,3,3,1,1,1,1,1,1,1,3,3,3,101.439922
4,3,1,4,1,4,2,,2,,2,,2,,2,,1,1,2,1,2,2,2,1,4,2,,2,,2,,2,,2,,1,,,4,,,4,2,,2,,2,,2,,2,,4,4,4,1,1,2,2,2,2,2,2,1,2,,,,,,,,,11,,,,,4,4,5,5,4,4,4,4,4,4,3,3,3,2,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,1,43,,환경공학과,137,,,,,,,,,,3,3,3,,,,,,,3,3,,,3,5,5,2,3,5,3,3,3,3,5,3,3,3,3,3,3,3,3,3,4,4,3,3,3,2,2,3,2,4,4,3,3,3,50.649808
4,3,1,4,1,5,1,4,1,5,1,4,1,5,2,,1,1,1,1,1,1,1,1,4,1,5,2,,2,,1,5,1,4,,,,,5,6,4,2,,2,,2,,2,,2,,4,5,4,1,1,1,1,2,2,2,2,,,,4,,,,8,9,,,,,,,5,4,5,5,5,5,5,4,4,5,2,2,5,1,2,2,,1,5,1,4,1,4,2,,2,,2,,1,4,1,4,1,46,신소재연구원,93,4,,2,,,,,,,,10,,,,,1,,,2,1,1,20,23,신소재공학과,97,,,,,,,,,,4,4,4,,,,1,,,5,4,,,3,5,4,4,4,5,5,3,4,3,3,3,4,4,3,3,3,4,4,4,4,3,5,5,4,2,2,4,4,3,4,5,5,5,14.043157
4,3,1,4,2,,1,3,1,3,2,,1,4,1,3,1,1,1,1,1,1,1,1,3,1,3,1,3,2,,2,,2,,1,,3,,,,3,1,3,1,3,2,,2,,2,,4,4,4,1,1,2,1,2,2,2,2,,,,4,,,,8,,,,,,14,,4,5,4,2,4,3,5,4,3,4,2,3,1,1,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,24,호텔바리스타,123,3,,,,,,,,8,9,,,,,,2,,,2,3,4,,,,,,,,,,,,,,,2,3,,,,,,,4,1,,,2,4,2,3,2,4,2,3,2,2,4,2,2,2,4,2,3,2,3,3,3,3,4,2,5,3,1,2,2,2,2,2,2,3,36.746845
4,3,1,4,2,,1,3,1,4,2,,1,3,1,4,1,2,1,1,1,1,1,1,3,1,4,1,4,1,4,2,,2,,,2,,4,,,3,2,,2,,2,,2,,2,,4,4,4,1,1,1,2,2,2,2,2,,,,,,,,8,9,,,,,,,3,4,3,4,4,4,4,4,3,4,3,2,2,1,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,62,작가,92,4,,,,,,6,,8,,,,,,,1,,,1,3,5,,,,,,,,,,,,,,,,4,,,,2,,,3,4,,,3,4,3,4,4,4,3,3,3,3,4,3,3,3,4,3,3,4,3,4,4,3,4,4,3,3,3,2,3,3,3,3,2,3,67.446007
4,3,1,4,2,,1,3,1,4,2,,2,,2,,1,1,1,1,1,1,1,1,3,2,,2,,2,,2,,1,4,,2,,,,6,3,2,,2,,2,,2,,2,,3,3,3,1,1,2,1,2,2,2,2,,,,,,,,8,9,,,,13,,,4,4,4,3,4,3,3,4,3,5,3,2,1,2,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,14,패션잡지에디터,107,3,,,,,,6,,,9,,,,,,1,,,2,1,5,,,,,,,,,,,,,,,,2,5,,,,,,2,,,,2,5,5,4,3,5,5,4,3,3,5,3,2,3,3,4,3,3,4,3,4,4,4,3,1,1,1,4,4,3,3,3,3,4,17.708245
4,3,1,4,2,,1,3,1,4,2,,2,,2,,1,2,1,1,1,2,1,1,4,1,4,2,,2,,2,,2,,,,,4,5,,3,2,,2,,2,,2,,2,,3,3,4,2,2,2,1,2,2,2,2,,,,4,,,,,,10,,,,,,3,3,3,4,4,4,3,4,3,3,3,3,4,2,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,10,사회복지공무원,19,3,,,,,,6,,,,,11,,,,2,,,2,3,1,6,,사회복지학과,53,,,,,,,,,,3,3,4,,,,3,,,2,,,,3,3,3,3,2,4,3,2,2,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,4,3,3,4,4,3,3,3,3,3,48.263413
4,3,1,4,2,,1,3,2,,2,,1,2,1,3,2,1,2,2,1,1,2,1,4,2,,2,,2,,2,,1,2,1,,,4,,,3,2,,2,,2,,2,,2,,4,3,4,1,1,2,2,2,2,2,2,1,,,,,,,8,,,,12,,,,4,3,2,5,5,4,3,4,4,3,2,3,2,2,2,2,,1,2,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,1,43,,바둑학과,908,,,,,,,,,,3,4,3,,,,,,,4,4,,,2,4,4,4,2,4,3,3,3,2,4,4,3,3,4,4,2,2,3,2,2,4,4,4,4,3,2,2,4,2,5,3,3,2,6.65726
4,3,1,4,2,,1,3,2,,2,,1,3,1,3,2,1,1,1,1,1,2,1,4,2,,2,,2,,1,3,2,,,2,,,5,,3,1,3,1,3,2,,2,,2,,4,3,3,1,1,2,1,2,2,2,2,1,,,4,,,,,,,11,,,,,4,4,4,4,4,4,4,4,4,3,2,2,3,2,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,10,간호사,7,4,,,,,,,,8,,10,,,,,6,,,2,1,1,32,,간호학과,3,,,,,,,,,,3,3,3,,,,,,,3,3,,,3,4,4,4,3,4,4,3,3,4,4,4,3,3,3,4,4,3,3,3,3,3,4,4,3,2,2,4,4,3,3,4,3,3,48.263413
4,3,1,4,2,,1,3,2,,2,,1,4,2,,1,1,1,1,1,1,1,2,,2,,2,,2,,2,,2,,,,3,4,,,3,2,,2,,2,,2,,2,,3,2,4,1,1,2,2,2,2,2,2,,,,,,,,,,,,,,14,,5,4,4,4,4,4,4,4,3,5,2,3,3,2,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,14,작가,92,4,,,,,,,,8,9,,,,,,1,,,1,2,1,1,37,문예창작과,39,,,,,,,,,,4,3,2,5,,,,,,2,,,,3,4,2,4,1,4,3,4,2,2,4,4,2,2,4,2,2,2,2,2,2,2,2,2,4,3,3,2,2,2,4,3,3,3,16.582657
4,3,1,4,2,,1,4,1,3,1,4,1,4,2,,1,1,1,1,1,1,1,2,,2,,2,,2,,1,3,2,,,,3,,5,,3,2,,2,,2,,2,,2,,4,3,4,1,1,2,1,2,2,2,2,1,,,4,,,,8,,,,,,,,4,3,4,5,5,4,5,5,3,5,4,4,4,1,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,2,국제공무원,28,3,,,,,,,,,9,10,,,,,2,,,2,3,1,1,6,스페인어과,905,,,,,,,,,,4,3,4,,,,4,,,3,3,,,4,4,3,3,2,5,4,3,4,4,4,4,4,5,5,3,4,4,4,4,3,3,4,4,5,2,1,5,4,3,4,4,4,2,72.634161
4,3,1,4,2,,1,4,1,3,2,,1,3,2,,1,1,1,1,1,1,1,1,3,2,,2,,2,,2,,2,,,,3,4,,,3,2,,1,3,2,,2,,2,,3,3,3,1,1,2,1,2,2,2,2,,2,,4,,,,,,,,12,,,,5,5,5,5,5,5,5,5,2,5,2,4,5,2,2,1,3,1,3,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,7,영어,83,,,,,,,,,,2,2,4,,,,4,,,2,,,,3,5,4,3,2,4,5,3,2,1,3,2,2,2,3,2,3,2,2,1,1,5,4,4,4,4,2,5,4,4,4,3,3,3,92.828912
4,3,1,4,2,,1,4,1,3,2,,1,4,2,,1,1,1,1,1,1,2,1,3,1,3,1,3,2,,2,,2,,,2,,4,,,4,1,3,1,3,2,,2,,2,,3,2,3,1,1,2,2,2,2,2,2,,,,,,,,,,,11,,13,14,,4,5,4,5,5,3,4,5,3,4,2,2,4,1,1,1,3,1,4,2,,2,,2,,2,,2,,2,,2,,1,11,기술가정선생님,24,2,1,2,,,,,,,,,,,,,1,,,2,1,1,12,,교육과,16,,,,,,,,,,2,3,4,,,,4,,,2,,,,3,5,4,3,4,4,1,3,2,4,4,4,2,4,3,3,2,3,2,2,4,4,4,4,4,4,2,4,5,4,4,3,3,4,46.341158
4,3,1,4,2,,1,4,1,4,1,3,2,,2,,1,1,1,1,1,2,1,1,3,2,,2,,2,,2,,2,,,,,4,,6,3,2,,2,,2,,2,,2,,4,4,4,1,1,2,1,2,2,2,2,1,,,4,,,,,9,,,,,,,4,4,5,5,5,4,4,4,3,4,2,2,3,2,2,1,4,1,3,2,,1,2,1,3,2,,2,,1,3,2,,1,11,교사,24,3,,2,,,,,,,,10,,,,,2,,,2,3,1,12,,역사교육과,112,,,,,,,,,,3,4,4,,,,2,,,4,3,,,3,4,3,3,3,4,4,4,3,4,4,4,4,4,4,2,4,3,3,4,3,4,4,4,4,1,1,3,3,4,4,4,4,2,56.733615
4,3,1,4,2,,1,4,1,4,1,3,2,,2,,1,2,1,1,1,2,1,1,4,2,,2,,2,,1,4,2,,,2,,4,,,3,2,,2,,2,,2,,2,,4,3,4,1,1,2,1,2,2,2,2,,,,,,,,8,,,,12,13,,,5,4,4,4,4,4,4,4,4,5,4,4,4,2,2,2,,2,,2,,2,,2,,2,,2,,1,4,2,,1,7,생명관련연구원,58,3,1,,3,,,,,,,,,,,,1,,,2,1,1,26,27,농수산물바이오학과,57,,,,,,,,,,3,3,4,,,,4,,,4,1,,,4,4,3,3,3,4,3,3,4,3,4,4,3,4,4,3,4,3,4,4,4,3,3,4,4,4,3,4,4,4,4,4,3,3,52.458005
4,3,1,4,2,,1,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,3,2,,1,3,1,3,1,3,2,,,,,4,5,,4,1,3,1,3,1,3,2,,2,,4,3,4,1,1,2,2,2,2,2,2,1,,,,,,,,,,,12,,14,,4,4,4,4,4,4,4,4,4,4,2,2,2,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,3,,,,,,,3,4,,,3,4,3,3,3,5,3,3,3,3,4,3,3,3,3,3,3,2,2,2,3,2,4,3,4,3,3,3,3,3,3,4,4,4,82.829368
4,3,1,4,2,,1,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,2,1,4,2,,2,,2,,2,,1,4,,,,4,5,,4,1,4,1,4,2,,2,,1,4,3,3,4,1,1,2,1,2,2,2,2,1,,,4,,,,8,,,,,,,,4,5,5,5,5,5,5,5,3,5,4,4,5,2,2,1,3,2,,2,,2,,2,,2,,2,,2,,2,,1,10,약사,69,3,1,,,,,,,8,,,,,,,6,,,2,1,1,33,,약학과,77,,,,,,,,,,3,3,3,,,,,,,3,4,,,3,3,2,2,2,4,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,5,5,4,1,1,4,4,2,2,4,4,4,46.809264
4,3,1,4,2,,1,4,1,4,1,4,1,4,2,,1,1,1,1,1,1,2,1,5,2,,2,,2,,1,4,2,,,,3,,5,,3,2,,2,,2,,2,,2,,4,3,5,1,1,2,1,2,2,2,2,1,,,4,,,,8,,,,,,,,5,5,5,5,5,5,5,5,2,4,2,3,4,2,2,1,4,1,3,1,3,2,,2,,2,,2,,2,,2,,1,6,영어영문,27,3,1,2,,,,,,,,,,,,,5,,,2,1,1,1,5,영어영문학,83,,,,,,,,,,2,4,4,,,,4,,,3,6,없음,5,3,4,3,4,4,5,3,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,5,5,5,3,5,4,4,3,4,3,4,4,97.748986
4,3,1,4,2,,1,4,1,4,1,4,1,4,2,,1,2,1,1,1,2,2,1,4,1,4,2,,2,,2,,2,,1,2,,,,,4,1,4,2,,2,,2,,2,,4,2,4,1,1,2,1,2,1,2,2,,,,4,,,,,,,11,12,,,,4,4,4,4,4,4,4,4,1,2,2,1,3,1,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,14,그래픽디자이너,109,3,,,,,,,,,9,10,,,,,2,,,2,2,1,2,36,시각디자인,65,,,,,,,,,,3,4,3,,,,,,,1,,,,3,4,2,4,4,4,3,3,2,2,4,3,1,4,4,3,4,3,4,2,3,3,4,4,4,4,2,2,4,3,3,4,4,4,97.748986
4,3,1,4,2,,1,4,1,4,1,4,1,4,2,,2,2,1,1,2,1,2,1,4,2,,2,,2,,2,,1,4,1,,3,,,,4,2,,2,,2,,2,,1,4,4,3,4,1,2,2,1,2,2,2,2,1,,,,,,,,,,11,,13,,,4,4,5,5,4,4,4,4,3,2,2,2,5,2,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,1,27,33,생명과학과,57,,,,,,,,,,3,3,2,5,,,,,,2,,,,3,4,4,4,3,4,3,2,4,3,4,4,3,4,4,3,4,4,4,3,4,4,4,4,4,3,3,4,5,3,4,3,3,4,36.139465
4,3,1,4,2,,1,4,1,4,1,4,2,,1,4,1,1,1,1,1,1,1,1,3,1,3,2,,2,,2,,2,,,,3,4,,,3,2,,2,,2,,2,,2,,2,2,2,1,1,2,1,2,2,2,2,1,2,,4,,,,,,,,,,,,4,4,4,4,4,4,4,3,3,2,2,3,3,1,2,1,4,2,,2,,2,,2,,1,3,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,1,7,13,광고홍보학과,14,,,,,,,,,,3,2,4,,,,4,,,3,4,,,3,3,3,3,3,4,4,3,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,3,3,3,4,4,4,76.243312
4,3,1,4,2,,1,4,1,4,1,4,2,,2,,1,2,1,2,1,1,2,2,,2,,2,,2,,1,4,2,,1,,,,,,3,2,,2,,2,,2,,2,,3,2,3,1,1,1,1,2,2,2,2,1,,,,,,,,,,,12,,14,,4,3,4,4,4,4,4,4,2,5,5,5,5,2,2,1,4,2,,1,4,2,,2,,2,,2,,2,,2,,1,13,세무사회계사,13,3,,,3,,,,,,,10,,,,,10,하고 싶은게 딱히 없어서,10,2,1,1,3,7,세무학과,138,,,,,,,,,,3,3,5,,,,4,,,2,,,,3,3,3,2,2,3,2,3,3,2,3,3,2,2,3,2,2,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,2,383.381645
4,3,1,4,2,,1,4,1,5,1,4,1,3,2,,1,2,2,1,1,1,1,1,5,2,,1,5,1,4,1,5,1,5,,2,,,,6,4,2,,2,,2,,2,,2,,4,4,3,1,1,1,1,2,2,2,2,1,,,4,,,,,,,,12,,,,5,4,5,4,4,5,4,5,5,2,2,2,2,2,2,1,5,1,5,1,5,1,5,1,5,1,4,1,4,1,5,1,5,1,21,운동쪽,65,4,,,,,,,,8,,,11,,,,6,,,1,3,2,,,,,1,,,1,,,4,,,4,3,3,,,,,,,2,,,,3,4,5,5,3,4,4,3,5,5,4,4,5,5,4,4,4,4,4,3,5,5,5,4,4,1,1,3,4,4,4,4,4,5,47.910815
4,3,1,4,2,,1,4,1,5,1,4,2,,2,,1,1,1,1,1,1,1,1,4,1,4,1,4,1,4,1,4,1,4,,2,,4,,,4,2,,2,,2,,2,,2,,4,4,4,1,2,2,2,2,2,2,2,1,,,,,,,,,,11,,13,,,4,4,4,4,4,4,4,4,4,2,2,2,4,1,1,1,4,1,4,1,4,2,,1,4,2,,1,4,2,,2,,1,61,파일럿,122,5,1,,,,,,,,9,,,,,,2,,,1,1,4,,,,,,,,,,,,,,,4,3,,,,,,,4,3,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,9.968438
4,3,1,4,2,,1,4,1,5,1,5,1,5,2,,1,1,1,1,1,1,1,1,4,2,,2,,2,,1,4,1,5,,,,4,5,,4,2,,2,,2,,2,,2,,5,5,5,1,2,2,1,2,2,2,2,1,,,4,,6,,,,,,,,,,5,5,5,5,5,4,3,5,5,5,4,3,3,2,2,1,4,2,,2,,2,,2,,2,,2,,2,,2,,1,1,CEO,14,4,,,,,,,,8,,10,,,,,1,,,2,1,1,1,4,경영학과,6,,,,,,,,,,4,4,3,,,,,,,4,4,,,3,4,5,5,4,5,5,5,3,4,5,4,2,3,4,3,5,4,4,4,5,3,5,5,5,2,3,4,4,3,4,3,2,5,40.283465
4,3,1,4,2,,1,4,2,,1,3,2,,2,,1,1,1,1,1,2,1,1,3,2,,2,,2,,2,,2,,,2,,4,,,4,2,,2,,2,,2,,2,,4,4,4,1,1,2,2,2,2,2,2,1,2,,4,,,,,,,,,,,,4,3,4,4,4,4,4,3,4,5,5,5,5,2,2,1,4,1,4,1,4,1,3,2,,2,,2,,1,3,2,,1,7,생명공학연구원,58,4,,,,,,,,8,9,,,,,,1,,,2,1,1,23,27,생명공학과,57,,,,,,,,,,3,3,4,,,,1,,,5,3,,,3,3,3,3,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,3,4,4,3,2,4,4,4,4,5,5,3,55.158186
4,3,1,4,2,,1,4,2,,1,4,2,,1,4,2,2,1,1,1,2,2,2,,2,,2,,1,3,2,,2,,,2,,4,,,3,2,,1,3,2,,2,,2,,1,1,3,1,1,2,2,2,2,2,2,,,,,,,,,9,,11,,13,,,3,4,4,4,5,5,5,5,4,2,5,5,1,2,2,1,4,1,4,2,,2,,2,,2,,2,,2,,2,,1,11,체육선생님,24,5,1,2,,,,,,,,,,,,,7,,,2,2,1,12,,체육교육학과,111,,,,,,,,,,5,3,3,,,,,,,2,,,,3,3,3,5,4,4,3,5,3,3,4,3,3,4,4,4,3,3,3,4,4,4,3,3,3,4,3,4,3,4,2,4,4,2,128.468584
